"《92》佛陀之恩澤,廣庇全天下(苑歌月曆–常樂1)"
"《41》以溫和之語教導他人,方有培育菩提之真誠(苑歌月曆–常樂26)"
"《166》誤入歧途發生事故,事後追悔莫及(苑歌月曆–常樂27)"
"《42》永不懈怠精進祈念,直到歡喜世界出現(苑歌月曆–常樂28)"
"《70》大乘之行猶如炭火,聚集燃燒更加旺盛(苑歌月曆–常樂29)"
"《36》若平日竭盡真誠精進,此行為即可獲得真理(苑歌月曆–常樂30)"
"《83》言出必行言行一致,方可得一如之救度(苑歌月曆–常樂31)"
"《25》若心中有一如之喜悦,便知每日工作乃聖業(苑歌月曆–我淨1)"
"《189》說無暇學習教法者,更應下功夫勤研讀(苑歌月曆–我淨2)"
"《51》無我之修行雖正確,超越無我悟得妙有誠可貴(苑歌月曆–我淨3)"
"《182》無喜悦的布施亦布施,心存歡喜始為波羅蜜(苑歌月曆–我淨4)"
"《87》應知歡樂乃惡華,促使身心俱亡(苑歌月曆–我淨5)"
"《86》須知執著之心充滿計較,如能捨棄執著則無計較(苑歌月曆–我淨6)"
"《130》世間苦樂中,得悟真菩提(苑歌月曆–我淨7)"
"《110》佛陀常與我同在,世人應不忘禮佛(苑歌月曆–我淨8)"
"《160》為他人修行可通曉教法,若只為自己則停滯不前(苑歌月曆–我淨9)"
"《67》超越世俗之心,乃菩提心(苑歌月曆–我淨10)"
"《177》竭盡所能去努力,才是真誠的信仰(苑歌月曆–我淨11)"
"《14》為人奉獻己身之行,雖為人身亦是菩薩(苑歌月曆–我淨12)"
"《103》眼中所見善果惡果,皆啓示自己的行為(苑歌月曆–我淨13)"
"《11》要知至誠唱誦靈咒,可清淨到子子孫孫(苑歌月曆–我淨14)"
"《149》最後教法,宛如追尋已久的慈母(苑歌月曆–我淨15)"
"《45》由受助轉為自助,此乃一如之真誠(苑歌月曆–我淨16)"
"《201》無感謝之信仰心猶如熄滅之燈火,若思惟此事即應添加功德之燈油(苑歌月曆–我淨17)"
"《192》先為人後為己,乃教法之真理(苑歌月曆–我淨18)"
"《2》若知他人事乃己事,則可經常菩提向上(苑歌月曆–我淨19)"
"《24》照見內心潛藏佛性,知其可貴更要努力(苑歌月曆–我淨20)"
"《141》靈言所示之話語乃真理,以自我本位聽取則有誤(苑歌月曆–我淨21)"
"《31》僅以教法莊嚴內心,不傳法則令其腐朽(苑歌月曆–我淨22)"
"《146》教導懲罰亦是道,因果報應乃真理(苑歌月曆–我淨23)"
"《15》智分福德莊嚴與智慧莊嚴,知此誠可貴(苑歌月曆–我淨24)"
"《48》今日播種無法今日收穫,仍需努力不懈等待成果(苑歌月曆–我淨25)"
"《49》常住佛陀教法,示現永世樂土(苑歌月曆–我淨26)"
"《17》時時累積功德,可成就大功德(苑歌月曆–我淨27)"
"《94》當知世上有真理,最後教法為殊勝(苑歌月曆–我淨28)"
"《84》苑人侍奉佛陀之心,在於以真誠心救度(苑歌月曆–我淨29)"
"《193》不分貧富與貴賤,盡心傳法乃佛子(苑歌月曆–我淨30)"
"《279》無法遵循善法之心,乃因心中存有邪惡(苑歌月曆–我淨31)"
"《163》謙恭有禮常與人和合,努力精進提升菩提心(苑歌月曆–樂我1)"
"《64》如同每天被踩過的橋,成為菩提之橋誠可貴(苑歌月曆–樂我2)"
"《156》以他人為鏡之道理,明示於涅槃教法中(苑歌月曆–樂我3)"
"《33》一切接受佛尊安排,每日生活即處淨土(苑歌月曆–樂我4)"
"《114》蒙受慈悲之人日增,真如之光為世所知(苑歌月曆–樂我5)"
"《176》捨棄往日執著勤修法,追求充滿希望的未來(苑歌月曆–樂我6)"
"《200》雖然明知物心一如,有人忘卻與佛同在(苑歌月曆–樂我7)"
"《27》設身處地且不固執己見,不忘面帶笑容傳達教法(苑歌月曆–樂我8)"
"《104》尊貴的最後教法啓示,救他人之力可救己身(苑歌月曆–樂我9)"
"《74》依了義不依不了義經,乃涅槃了義之真理(苑歌月曆–樂我10)"
"《120》持書不研讀只聽,而欲悟道乃略分(苑歌月曆–樂我11)"
"《180》為他人即為世間,盡心意乃真信仰(苑歌月曆–樂我12)"
"《60》承接佛法如潺潺流水,依循正道者值得信賴(苑歌月曆–樂我13)"
"《63》了知塵世中有喜有憂,活於佛法中即處淨土(苑歌月曆–樂我14)"
"《179》勝過於諸光明之光,即是最後教法之光(苑歌月曆–樂我15)"
"《117》思飲食為佛陀之恩,每日三度合掌感謝(苑歌月曆–樂我16)"
"《173》傳達真實殊勝教法,涅槃神力即入毛孔(苑歌月曆–樂我17)"
"《125》事事不如我心意,不斷實踐即順遂(苑歌月曆–樂我18)"
"《46》路邊飽受踐踏的野草,也有在堅忍中成長的本性(苑歌月曆–樂我19)"
"《91》凡事皆啓示佛法,只因吾心有菩提(苑歌月曆–樂我20)"
"《40》修行中欲聽溫柔話語,此乃寬以待己之二乘(苑歌月曆–樂我21)"
"《209》引導外教至涅槃了義教法者,稱之為教使(苑歌月曆–樂我22)"
"《107》今日播種無法明日收成,須知此理勤修行(苑歌月曆–樂我23)"
"《191》施恩毋需記,受恩不可忘(苑歌月曆–樂我24)"
"《28》應知訶責如手指,指點寶山之所在(苑歌月曆–樂我25)"
"《183》真誠的布施不求回報,乃是斷除惡因緣之道(苑歌月曆–樂我26)"
"《109》苑道為佛陀所開啓,乃萬年不變之正道(苑歌月曆–樂我27)"
"《32》當捨棄執著時,凡事尊貴樂我(苑歌月曆–樂我28)"
"《162》感謝得遇最後教法,如同掘獲摩尼寶珠(苑歌月曆–樂我29)"
"《47》世事本無常,佛法永不變(苑歌月曆–樂我30)"
"《157》以夢境教導出離之道,乃佛最後教誨之真理(苑歌月曆–樂我31)"
